#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0019887	Protein kinase regulator activity	4	221	1.09	0.55	0.0217	9606.ENSP00000227507,9606.ENSP00000263967,9606.ENSP00000265171,9606.ENSP00000275493	CCND1,PIK3CA,EGF,EGFR
GO:0051117	ATPase binding	3	87	1.37	0.61	0.0217	9606.ENSP00000275493,9606.ENSP00000362680,9606.ENSP00000405330	EGFR,SRC,ESR1
GO:0008013	Beta-catenin binding	3	89	1.36	0.61	0.0222	9606.ENSP00000263253,9606.ENSP00000405330,9606.ENSP00000495360	EP300,ESR1,CTNNB1
GO:0005125	Cytokine activity	4	234	1.06	0.53	0.0258	9606.ENSP00000263341,9606.ENSP00000264498,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,FGF2,IL6,TNF
GO:0051428	Peptide hormone receptor binding	2	19	1.85	0.62	0.0279	9606.ENSP00000371067,9606.ENSP00000489597	JAK2,PTPN11
GO:0003690	Double-stranded DNA binding	9	1661	0.57	0.36	0.0294	9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000300305,9606.ENSP00000360266,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000478887	STAT3,TP53,EGFR,RUNX1,JUN,TNF,ESR1,BRCA1,MYC
GO:0043565	Sequence-specific DNA binding	9	1666	0.56	0.36	0.0297	9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000300305,9606.ENSP00000360266,9606.ENSP00000381185,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000478887	STAT3,TP53,RUNX1,JUN,BCL2,TNF,ESR1,BRCA1,MYC
GO:0003676	Nucleic acid binding	14	4003	0.38	0.27	0.0440	9606.ENSP00000263253,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000300305,9606.ENSP00000360266,9606.ENSP00000369497,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000478887	EP300,STAT3,TP53,EGFR,ATM,RUNX1,JUN,BRCA2,GRB2,BCL2,TNF,ESR1,BRCA1,MYC
GO:0001091	RNA polymerase II general transcription initiation factor binding	2	25	1.74	0.54	0.0441	9606.ENSP00000269305,9606.ENSP00000405330	TP53,ESR1
GO:0030295	Protein kinase activator activity	3	117	1.24	0.49	0.0441	9606.ENSP00000263967,9606.ENSP00000265171,9606.ENSP00000275493	PIK3CA,EGF,EGFR
GO:0048018	Receptor ligand activity	5	499	0.83	0.41	0.0459	9606.ENSP00000263341,9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,FGF2,EGF,IL6,TNF
