#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
DOID:0060085	Organ system benign neoplasm	5	237	1.16	0.94	0.00065	9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000361021,9606.ENSP00000405330,9606.ENSP00000495360	TP53,ERBB2,PTEN,ESR1,CTNNB1
DOID:0070004	Myeloid neoplasm	3	38	1.73	1.17	0.00075	9606.ENSP00000227507,9606.ENSP00000371067,9606.ENSP00000489597	CCND1,JAK2,PTPN11
DOID:0050697	Chorioamnionitis	2	4	2.53	1.27	0.00079	9606.ENSP00000263341,9606.ENSP00000385675	IL1B,IL6
DOID:0060076	Estrogen-receptor negative breast cancer	2	4	2.53	1.27	0.00079	9606.ENSP00000369497,9606.ENSP00000405330	BRCA2,ESR1
DOID:0080374	Gastroesophageal cancer	2	4	2.53	1.27	0.00079	9606.ENSP00000269571,9606.ENSP00000275493	ERBB2,EGFR
DOID:2170	Vaginitis	2	4	2.53	1.27	0.00079	9606.ENSP00000263341,9606.ENSP00000405330	IL1B,ESR1
DOID:3087	Gingivitis	2	4	2.53	1.27	0.00079	9606.ENSP00000263341,9606.ENSP00000385675	IL1B,IL6
DOID:3457	Invasive lobular carcinoma	2	4	2.53	1.27	0.00079	9606.ENSP00000269571,9606.ENSP00000405330	ERBB2,ESR1
DOID:3526	Cerebral infarction	2	4	2.53	1.27	0.00079	9606.ENSP00000263341,9606.ENSP00000385675	IL1B,IL6
DOID:6132	Bronchitis	2	4	2.53	1.27	0.00079	9606.ENSP00000385675,9606.ENSP00000398698	IL6,TNF
DOID:12704	Ataxia telangiectasia	2	5	2.43	1.22	0.0010	9606.ENSP00000269305,9606.ENSP00000278616	TP53,ATM
DOID:2508	Takayasus arteritis	2	5	2.43	1.22	0.0010	9606.ENSP00000385675,9606.ENSP00000398698	IL6,TNF
DOID:2978	Carbohydrate metabolic disorder	5	268	1.1	0.87	0.0010	9606.ENSP00000263341,9606.ENSP00000264657,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828	IL1B,STAT3,IL6,TNF,AKT1
DOID:8584	Burkitt lymphoma	2	5	2.43	1.22	0.0010	9606.ENSP00000381185,9606.ENSP00000478887	BCL2,MYC
DOID:1909	Melanoma	3	46	1.65	1.08	0.0012	9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000278616	EGF,TP53,ATM
DOID:557	Kidney disease	5	275	1.09	0.84	0.0012	9606.ENSP00000269305,9606.ENSP00000346839,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000495360	TP53,FN1,IL6,TNF,CTNNB1
DOID:104	Bacterial infectious disease	4	140	1.29	0.94	0.0013	9606.ENSP00000263341,9606.ENSP00000265171,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,EGF,IL6,TNF
DOID:1618	Breast fibroadenoma	2	6	2.35	1.17	0.0013	9606.ENSP00000269571,9606.ENSP00000405330	ERBB2,ESR1
DOID:1963	Fallopian tube carcinoma	2	6	2.35	1.17	0.0013	9606.ENSP00000369497,9606.ENSP00000418960	BRCA2,BRCA1
DOID:2913	Acute pancreatitis	2	6	2.35	1.17	0.0013	9606.ENSP00000385675,9606.ENSP00000398698	IL6,TNF
DOID:3498	Pancreatic ductal adenocarcinoma	2	6	2.35	1.17	0.0013	9606.ENSP00000269305,9606.ENSP00000451828	TP53,AKT1
DOID:0050486	Exanthem	2	7	2.29	1.12	0.0017	9606.ENSP00000275493,9606.ENSP00000398698	EGFR,TNF
DOID:13223	Uterine fibroid	2	7	2.29	1.12	0.0017	9606.ENSP00000269305,9606.ENSP00000405330	TP53,ESR1
DOID:1520	Colon carcinoma	2	7	2.29	1.12	0.0017	9606.ENSP00000269305,9606.ENSP00000495360	TP53,CTNNB1
DOID:5683	Hereditary breast ovarian cancer syndrome	2	7	2.29	1.12	0.0017	9606.ENSP00000369497,9606.ENSP00000418960	BRCA2,BRCA1
DOID:630	Genetic disease	15	3778	0.43	0.39	0.0019	9606.ENSP00000263253,9606.ENSP00000263341,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000369497,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000489597,9606.ENSP00000495360	EP300,IL1B,STAT3,TP53,ATM,PTEN,BRCA2,IL6,TNF,ESR1,BRCA1,PIK3R1,AKT1,PTPN11,CTNNB1
DOID:3713	Ovary adenocarcinoma	2	8	2.23	1.09	0.0020	9606.ENSP00000269305,9606.ENSP00000369497	TP53,BRCA2
DOID:3307	Teratoma	2	9	2.18	1.06	0.0024	9606.ENSP00000264498,9606.ENSP00000478887	FGF2,MYC
DOID:3602	Toxic encephalopathy	2	9	2.18	1.06	0.0024	9606.ENSP00000263341,9606.ENSP00000385675	IL1B,IL6
DOID:0050736	Autosomal dominant disease	9	1386	0.64	0.52	0.0025	9606.ENSP00000263253,9606.ENSP00000263341,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000361021,9606.ENSP00000369497,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000489597	EP300,IL1B,STAT3,TP53,PTEN,BRCA2,BRCA1,PIK3R1,PTPN11
DOID:4159	Skin cancer	3	63	1.51	0.94	0.0026	9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000278616	TP53,ERBB2,ATM
